,scalerank,featurecla,type,sov_a3,note,edited,name,namealt,namealtt,routeraw,question,length_km,toll,ne_part,label,label2,local,localtype,localalt,labelrank,ignore,add,rwdb_rd_id,orig_fid,prefix,uident,continent,expressway,level,min_zoom,min_label,geometry
1227,5,Road,Major Highway,USA,,New in version 2.0.0,93,,,,0,18,0,ne_1d4_original,,,,,,0,0,0,0,0,,20005,North America,1,Interstate,5.0,8.0,"LINESTRING (-71.89850742056525 44.33573245847084, -71.90198060954633 44.356571592357284, -71.92108314894223 44.38956688767748, -71.9245563379233 44.408669427073384, -71.94018568833813 44.42429877748822, -71.98186395611101 44.41214261605446, -72.02527881837443 44.413879210545)"
1228,5,Road,Major Highway,USA,,New in version 2.0.0,205,,,,0,15,0,ne_1d4_original,,,,,,0,0,0,0,0,,20105,North America,1,Interstate,5.0,7.4,"LINESTRING (-122.64527162303182 45.7163250784476, -122.58622741035357 45.66943702720311, -122.57233465442927 45.6503344878072, -122.55670530401444 45.59129027512895)"
1229,3,Road,Major Highway,USA,,New in version 2.0.0,5,,,,0,8,0,ne_1d4_original,,,,,,0,0,0,0,0,,20405,North America,1,Interstate,3.0,6.0,"LINESTRING (-122.66611075691826 45.617339192487, -122.67305713488041 45.593026869619486, -122.66958394589933 45.54613881837499, -122.67653032386148 45.51661671203587)"
1232,5,Road,Major Highway,USA,,New in version 2.0.0,205,,,,0,4,0,ne_1d4_original,,,,,,0,0,0,0,0,,20705,North America,1,Interstate,5.0,7.4,"LINESTRING (-122.55670530401444 45.59129027512895, -122.55670530401444 45.53571925143177)"
1233,4,Road,Major Highway,USA,,New in version 2.0.0,84,,,,0,0,0,ne_1d4_original,,,,,,0,0,0,0,0,,20805,North America,1,Interstate,4.0,7.0,"LINESTRING (-122.55670530401444 45.53571925143177, -122.55670530401444 45.530509467960165)"
1234,3,Road,Major Highway,USA,,New in version 2.0.0,5,,,,0,14,0,ne_1d4_original,,,,,,0,0,0,0,0,,20905,North America,1,Interstate,3.0,6.0,"LINESTRING (-122.67653032386148 45.51661671203587, -122.6209593001643 45.532246062450696, -122.57928103239142 45.52529968448855, -122.55670530401444 45.530509467960165)"
1240,3,Road,Major Highway,USA,,New in version 2.0.0,5,,,,0,16,0,ne_1d4_original,,,,,,0,0,0,0,0,,21805,North America,1,Interstate,3.0,6.0,"LINESTRING (-122.67653032386148 45.51661671203587, -122.68868648529524 45.48188482222513, -122.74599410348296 45.441943148942784, -122.74946729246403 45.429786987509026, -122.74425750899242 45.398528286679365, -122.74599410348296 45.37247936932131)"
1243,5,Road,Major Highway,USA,,New in version 2.0.0,205,,,,0,32,0,ne_1d4_original,,,,,,0,0,0,0,0,,22405,North America,1,Interstate,5.0,7.4,"LINESTRING (-122.55670530401444 45.530509467960165, -122.55670530401444 45.448889526904935, -122.5636516819766 45.40373807015097, -122.57059805993873 45.38463553075507, -122.59491038280625 45.35337682992541, -122.61748611118323 45.34469385747273, -122.66263756793718 45.36205980237809, -122.74599410348296 45.37247936932131)"
1249,4,Road,Major Highway,USA,,New in version 2.0.0,82,395,Federal,,0,29,0,ne_1d4_original,,,,,,0,0,0,0,0,,23205,North America,1,Interstate,4.0,7.0,"LINESTRING (-119.19986815380679 46.15915667353448, -119.20681453176894 46.11400521678053, -119.22070728769323 46.08100992146033, -119.21723409871217 46.041068248177986, -119.22765366565538 46.023702303272614, -119.24154642157968 46.013282736329394, -119.31969317365383 45.97681425202812, -119.33879571304973 45.96118490161329, -119.3370591185592 45.940345767726846, -119.32490295712545 45.92645301180255, -119.33011274059706 45.9142968503688)"
1250,6,Road,Major Highway,USA,,New in version 2.0.0,95,,,,0,91,1,ne_1d4_original,,,,,,0,0,0,0,0,,23605,North America,1,Interstate,6.0,8.5,"LINESTRING (-69.81806722090215 44.21938062760487, -69.90142375644793 44.15512663145501, -69.96567775259778 44.130814308587496, -70.05077088263408 44.120394741644276, -70.12891763470824 44.07697987938086, -70.15670314655684 44.06656031243763, -70.19664481983918 44.070033501418706, -70.23137670964991 44.050930962022804, -70.28173794987548 44.03356501711743, -70.30952346172407 44.007516099759385, -70.3251528121389 43.97452080443918, -70.34251875704427 43.885954485421806, -70.31820643417676 43.8008613553855, -70.3112600562146 43.753973304141006, -70.31473324519568 43.70882184738705, -70.34599194602535 43.63241168980343)"
1251,3,Road,Major Highway,USA,,New in version 2.0.0,295,,,,0,46,0,ne_1d4_original,,,,,,0,0,0,0,0,,23705,North America,1,Interstate,3.0,6.0,"LINESTRING (-70.34599194602535 43.63241168980343, -70.32688940662943 43.62720190633182, -70.31646983968622 43.63762147327504, -70.29736730029032 43.63935806776558, -70.27479157191334 43.66019720165202, -70.26263541047958 43.67929974104793, -70.25047924904582 43.72445119780188, -70.21053757576347 43.77828562700852, -70.15670314655684 43.83212005621517, -70.10113212285965 43.875534918478586, -70.06466363855839 43.896374052365026, -70.0559806661057 43.906793619308246, -70.04382450467193 43.9137399972704, -70.01082920935174 43.92242296972308)"
1252,3,Road,Major Highway,USA,,New in version 2.0.0,84,,,,0,126,0,ne_1d4_original,,,,,,0,0,0,0,0,,23805,North America,1,Interstate,3.0,6.0,"LINESTRING (-121.14311738871749 45.605183031053244, -121.18305906199983 45.5982366530911, -121.21605435732003 45.613866003505926, -121.21084457384842 45.64686129882613, -121.21779095181057 45.65728086576935, -121.22647392426325 45.66249064924096, -121.2525228416213 45.665963838222034, -121.30462067633741 45.685066377617936, -121.34803553860083 45.69027616108955, -121.42791888516551 45.68853956659901, -121.46786055844787 45.69201275558009, -121.54948049950309 45.7163250784476, -121.59289536176651 45.704168917013845, -121.61720768463402 45.704168917013845, -121.73355951549999 45.686802972108474, -121.81170626757415 45.69374935007062, -121.84991134636596 45.686802972108474, -121.93500447640227 45.63470513739237, -122.0878247915695 45.5982366530911, -122.15902516568151 45.57566092471412, -122.22327916183137 45.54613881837499)"
1253,3,Road,Major Highway,USA,,New in version 2.0.0,84,,,,0,37,0,ne_1d4_original,,,,,,0,0,0,0,0,,24005,North America,1,Interstate,3.0,6.0,"LINESTRING (-121.13964419973641 45.603446436562706, -121.08407317603923 45.643388109845056, -121.04586809724742 45.64859789331666, -121.00592642396508 45.64859789331666, -120.9364626443436 45.643388109845056, -120.91909669943823 45.63470513739237, -120.90694053800448 45.636441731882904, -120.86178908125052 45.664227243731496, -120.8183742189871 45.67291021618418)"
1255,4,Road,Major Highway,USA,,New in version 2.0.0,82,395,Federal,,0,11,0,ne_1d4_original,,,,,,0,0,0,0,0,,24505,North America,1,Interstate,4.0,7.0,"LINESTRING (-119.33011274059706 45.91256025587826, -119.33358592957813 45.88477474402967, -119.35616165795511 45.85698923218108, -119.38568376429423 45.79273523603122)"
1256,3,Road,Major Highway,USA,,New in version 2.0.0,84,,,,0,163,0,ne_1d4_original,,,,,,0,0,0,0,0,,24605,North America,1,Interstate,3.0,6.0,"LINESTRING (-120.8183742189871 45.674646810674716, -120.79406189611959 45.67811999965579, -120.6811832542347 45.71111529497599, -120.63603179748074 45.737164212334044, -120.60998288012269 45.74237399580565, -120.49015786027564 45.695485944561156, -120.46063575393651 45.69027616108955, -120.39985494676773 45.69201275558009, -120.32344478918411 45.707642105994914, -120.30086906080713 45.707642105994914, -120.28176652141123 45.7163250784476, -120.25571760405317 45.714588483957066, -120.18104404096009 45.72848123988136, -120.16020490707365 45.75105696825834, -120.13589258420613 45.768422913163704, -120.06469221009412 45.78057907459746, -119.98654545801996 45.810101180936584, -119.88755957205937 45.827467125841956, -119.69306098911925 45.848306259728396, -119.64617293787475 45.848306259728396, -119.57497256376274 45.829203720332494, -119.38568376429423 45.79794501950283)"
1257,4,Road,Major Highway,USA,,New in version 2.0.0,75,,,,0,12,0,ne_1d4_original,,,,,,0,0,0,0,0,,24705,North America,1,Interstate,4.0,7.0,"LINESTRING (-84.342943539752 46.50473897715131, -84.342943539752 46.48737303224594, -84.36725586261952 46.42485563058662, -84.3846218075249 46.360601634436755)"
1262,3,Road,Major Highway,USA,,New in version 2.0.0,84,395,Federal,,0,66,0,ne_1d4_original,,,,,,0,0,0,0,0,,25805,North America,1,Interstate,3.0,6.0,"LINESTRING (-119.38568376429423 45.79273523603122, -119.232863449127 45.77015950765424, -119.0869895119219 45.74063740131511, -118.94458876369788 45.704168917013845, -118.8039246099644 45.66249064924096)"
1266,3,Road,Major Highway,USA,,New in version 2.0.0,35,,,,0,10,0,ne_1d4_original,,,,,,0,0,0,0,0,,26805,North America,1,Interstate,3.0,6.0,"LINESTRING (-92.12809664082852 46.779120906656125, -92.16282853063925 46.74438901684539, -92.19408723146891 46.74091582786431, -92.21145317637428 46.73049626092109)"
1269,3,Road,Major Highway,USA,,New in version 2.0.0,89,,,,0,3,0,ne_1d4_original,,,,,,0,0,0,0,0,,27205,North America,1,Interstate,3.0,6.0,"LINESTRING (-72.38996366138717 43.64456785123719, -72.36391474402912 43.62720190633182)"
1270,3,Road,Major Highway,USA,,New in version 2.0.0,5,,,,0,73,0,ne_1d4_original,,,,,,0,0,0,0,0,,27505,North America,1,Interstate,3.0,6.0,"LINESTRING (-123.06031770627011 44.62921692737156, -123.05858111177957 44.64484627778639, -123.04642495034582 44.695207518011955, -123.05163473381744 44.72646621884162, -123.04295176136475 44.7681444866145, -123.02558581645938 44.806349565406315, -123.00648327706348 44.837608266235975, -123.00127349359187 44.868866967065635, -122.99085392664864 45.02342387672341, -122.96306841480005 45.0651021444963, -122.79809193819906 45.245707971512125, -122.77725280431261 45.28391305030394, -122.77377961533155 45.33948407400111, -122.74599410348296 45.37247936932131)"
1271,4,Road,Major Highway,USA,,New in version 2.0.0,29,,,,0,88,0,ne_1d4_original,,,,,,0,0,0,0,0,,27605,North America,1,Interstate,4.0,7.0,"LINESTRING (-96.84642387161702 46.89894592650317, -96.86552641101292 46.94409738325712, -96.89157532837098 46.96840970612464, -96.91067786776688 47.01008797389752, -96.94367316308708 47.04655645819879, -96.98361483636943 47.16985466702691, -97.03571267108553 47.30704563177932, -97.05481521048144 47.33830433260898, -97.06176158844357 47.37650941140079, -97.07739093885841 47.40603151773991, -97.08260072233003 47.482441675323535, -97.09475688376378 47.4998076202289, -97.08433731682055 47.57274458883145, -97.08954710029217 47.86622905773217, -97.09996666723539 47.88706819161861, -97.09475688376378 47.933956242863104)"
1275,3,Road,Major Highway,USA,,New in version 2.0.0,35,,,,0,29,0,ne_1d4_original,,,,,,0,0,0,0,0,,28205,North America,1,Interstate,3.0,6.0,"LINESTRING (-92.21492636535535 46.73049626092109, -92.30870246784434 46.70618393805358, -92.33127819622132 46.70444734356305, -92.40074197584279 46.70965712703465, -92.42331770421977 46.70444734356305, -92.44242024361567 46.69576437111036, -92.47020575546426 46.66797885926177)"
1277,4,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,4,0,ne_1d4_original,,,,,,0,0,0,0,0,,28505,North America,1,Interstate,4.0,7.0,"LINESTRING (-96.84295068263594 46.84684809178706, -96.84642387161702 46.89894592650317)"
1278,4,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,9,0,ne_1d4_original,,,,,,0,0,0,0,0,,28605,North America,1,Interstate,4.0,7.0,"LINESTRING (-96.84295068263594 46.84684809178706, -96.75959414709017 46.84511149729652)"
1279,3,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,210,0,ne_1d4_original,,,,,,0,0,0,0,0,,28705,North America,1,Interstate,3.0,6.0,"LINESTRING (-98.71326294894408 46.88331657608833, -98.6715846811712 46.891999548541015, -98.3555244838935 46.890262954050485, -98.29648027121524 46.90241911548424, -98.12976720012372 46.90241911548424, -98.08461574336975 46.91283868242746, -98.01862515272936 46.90936549344639, -97.93353202269306 46.921521654880145, -97.67998922707469 46.921521654880145, -97.6244182033775 46.881579981597795, -97.61052544745321 46.87463360363565, -96.95235613553976 46.87810679261673, -96.92978040716278 46.85900425322082, -96.9072046787858 46.850321280768135, -96.84295068263594 46.84684809178706)"
1283,4,Road,Major Highway,USA,,New in version 2.0.0,75,,,,0,2,0,ne_1d4_original,,,,,,0,0,0,0,0,,29205,North America,1,Interstate,4.0,7.0,"LINESTRING (-84.73888708359439 45.87435517708645, -84.73367730012279 45.86393561014323, -84.73367730012279 45.84656966523786)"
1286,3,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,176,0,ne_1d4_original,,,,,,0,0,0,0,0,,29505,North America,1,Interstate,3.0,6.0,"LINESTRING (-100.28835415186097 46.83642852484384, -100.26404182899346 46.83816511933438, -100.17547550997608 46.86595063118297, -99.94624503722521 46.860740847711355, -99.86636169066053 46.87289700914511, -99.48952068621404 46.88678976506941, -99.42353009557364 46.87463360363565, -99.14741157157829 46.88678976506941, -99.11615287074862 46.881579981597795, -99.03626952418394 46.89373614303155, -98.74104846079267 46.891999548541015, -98.71326294894408 46.88331657608833)"
1287,3,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,54,0,ne_1d4_original,,,,,,0,0,0,0,0,,29705,North America,1,Interstate,3.0,6.0,"LINESTRING (-100.77286401472074 46.83121874137223, -100.67908791223175 46.839901713824915, -100.28835415186097 46.83642852484384)"
1289,3,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,270,0,ne_1d4_original,,,,,,0,0,0,0,0,,29905,North America,1,Interstate,3.0,6.0,"LINESTRING (-100.77286401472074 46.83121874137223, -100.80759590453147 46.829482146881695, -100.83885460536113 46.82079917442901, -100.94999665275549 46.86247744220189, -101.8756015162116 46.860740847711355, -101.95201167379523 46.86768722567351, -102.01105588647349 46.86247744220189, -102.16908598511233 46.86421403669243, -102.21250084737575 46.85205787525867, -102.24375954820542 46.85379446974921, -102.33579905620387 46.87463360363565, -102.54245380057775 46.871160414654575, -102.67964476533015 46.88505317057887, -102.72653281657465 46.88331657608833, -102.75431832842324 46.891999548541015, -102.84462124193115 46.88852635955995, -103.0217538799659 46.88852635955995, -103.19020354554797 46.89720933201263)"
1290,4,Road,Major Highway,USA,,New in version 2.0.0,75,,,,0,5,0,ne_1d4_original,,,,,,0,0,0,0,0,,30005,North America,1,Interstate,4.0,7.0,"LINESTRING (-84.73367730012279 45.84656966523786, -84.73541389461333 45.787525452559606)"
1291,4,Road,Major Highway,USA,,New in version 2.0.0,75,,,,0,4,0,ne_1d4_original,,,,,,0,0,0,0,0,,30205,North America,1,Interstate,4.0,7.0,"LINESTRING (-84.73541389461333 45.787525452559606, -84.73194070563225 45.74237399580565)"
1293,3,Road,Major Highway,USA,,New in version 2.0.0,95,,,,0,9,0,ne_1d4_original,,,,,,0,0,0,0,0,,30705,North America,1,Interstate,3.0,6.0,"LINESTRING (-70.89649239952553 42.859627141514636, -70.89301921054437 42.88220286989167, -70.8669702931864 42.9325641101172, -70.85828732073361 42.958613027475224)"
1295,3,Road,Major Highway,USA,,New in version 2.0.0,15,,,,0,95,0,ne_1d4_original,,,,,,0,0,0,0,0,,182904,North America,1,Interstate,3.0,6.0,"LINESTRING (-111.99647420706012 46.59156870167815, -111.96174231724939 46.56725637881063, -111.9339568054008 46.53773427247151, -111.95132275030616 46.49084622122702, -112.02599631339925 46.391860335266415, -112.04509885279515 46.34497228402192, -112.06420139219105 46.32065996115441, -112.13019198283145 46.25119618153294, -112.1562409001895 46.23383023662757, -112.16839706162327 46.247722992551864, -112.18576300652863 46.258142559495084, -112.23786084124474 46.268562126438304, -112.2830122979987 46.27203531541938, -112.33858332169586 46.26682553194777, -112.34726629414855 46.25640596500455, -112.33858332169586 46.24424980357079, -112.34379310516748 46.22341066968435, -112.3351101327148 46.21125450825059, -112.3403199161864 46.20257153579791, -112.3351101327148 46.18867877987361, -112.33684672720533 46.176522618439854, -112.3819981839593 46.134844350666974, -112.40804710131734 46.10358564983731, -112.43409601867539 46.04975122063067, -112.45319855807129 46.03759505919691, -112.48098406991988 45.982024035499734)"
1296,3,Road,Major Highway,USA,,New in version 2.0.0,15,90,Interstate,,0,19,0,ne_1d4_original,,,,,,0,0,0,0,0,,31005,North America,1,Interstate,3.0,6.0,"LINESTRING (-112.64943373550196 46.00807295285778, -112.61296525120069 46.00633635836725, -112.52613552667384 45.9854972244808, -112.48098406991988 45.982024035499734)"
1297,3,Road,Major Highway,USA,,New in version 2.0.0,93,,,,0,13,1,ne_1d4_original,,,,,,0,0,0,0,0,,31405,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.47825155385534 43.048915940983065, -71.47998814834588 43.0836478307938, -71.49388090427017 43.12532609856668, -71.51124684917554 43.1496384214342, -71.53729576653359 43.170477555320645)"
1304,3,Road,Major Highway,USA,,New in version 2.0.0,93,,,,0,30,0,ne_1d4_original,,,,,,0,0,0,0,0,,32605,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.23165513619911 42.74674849962966, -71.24554789212341 42.76411444453503, -71.25423086457609 42.783216983930934, -71.27159680948147 42.79016336189308, -71.27506999846254 42.80926590128899, -71.29417253785844 42.821422062722746, -71.29938232133004 42.835314818647035, -71.31153848276381 42.845734385590255, -71.3393239946124 42.864836924986164, -71.37405588442313 42.925617732154954, -71.38794864034743 42.94298367706032, -71.41226096321495 42.96382281094676, -71.4244171246487 42.984661944833206)"
1306,6,Road,Major Highway,USA,,New in version 2.0.0,495,,,,0,41,0,ne_1d4_original,,,,,,0,0,0,0,0,,33105,North America,1,Interstate,6.0,8.5,"LINESTRING (-70.90170218299716 42.85094416906196, -70.98679531303344 42.835314818646964, -71.01631741937257 42.82315865721324, -71.04410293122106 42.80752930679847, -71.0770982265413 42.80926590128911, -71.09272757695618 42.802319523326844, -71.1291960612574 42.77453401147835, -71.14829860065333 42.741538716158175, -71.14135222269118 42.70159704287579, -71.1430888171817 42.677284720008174, -71.16045476208706 42.66686515306503, -71.19345005740729 42.66686515306503)"
1307,3,Road,Major Highway,USA,,New in version 2.0.0,93,,,,0,8,0,ne_1d4_original,,,,,,0,0,0,0,0,,33205,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.1934500574073 42.66686515306497, -71.23165513619911 42.74674849962966)"
1308,3,Road,Major Highway,USA,,New in version 2.0.0,95,,,,0,34,0,ne_1d4_original,,,,,,0,0,0,0,0,,33605,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.00068806895771 42.51230824340719, -70.97811234058074 42.51925462136934, -70.98158552956181 42.54183034974632, -70.96074639567537 42.57829883404759, -70.96421958465645 42.60087456242457, -70.97463915159966 42.62345029080155, -70.97811234058074 42.66512855857443, -70.96421958465645 42.70854342083785, -70.92254131688357 42.78669017291201, -70.90691196646873 42.84052460211865, -70.89649239952551 42.85962714151455)"
1310,3,Road,Beltway,USA,,New in version 2.0.0,95,,,,0,14,0,ne_1d4_original,,,,,,0,0,0,0,0,,34005,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.11703989982368 42.50188867646397, -71.10141054940885 42.50362527095451, -71.07883482103188 42.52446440484095, -71.02326379733469 42.51230824340719, -71.00068806895771 42.51230824340719)"
1311,3,Road,Major Highway,USA,,New in version 2.0.0,93,,,,0,30,0,ne_1d4_original,,,,,,0,0,0,0,0,,34105,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.05964518321328 42.36658392529632, -71.09814042221338 42.498567601868075, -71.14482541167227 42.54009375525578, -71.16219135657764 42.58524521200974, -71.18303049046408 42.6026111569151, -71.1934500574073 42.66686515306497)"
1313,6,Road,Major Highway,USA,,New in version 2.0.0,495,,,,0,38,0,ne_1d4_original,,,,,,0,0,0,0,0,,34405,North America,1,Interstate,6.0,8.5,"LINESTRING (-71.1934500574073 42.66686515306497, -71.26465043151931 42.630396668763694, -71.30111891582058 42.6165039128394, -71.39489501830957 42.59392818446242, -71.44178306955406 42.57135245608544, -71.4851979318175 42.54356694423685, -71.51645663264715 42.51404483789773)"
1314,3,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,219,0,ne_1d4_original,,,,,,0,0,0,0,0,,34705,North America,1,Interstate,3.0,6.0,"LINESTRING (-112.48098406991988 45.982024035499734, -112.46882790848613 45.950765334670066, -112.44451558561862 45.92471641731202, -112.10240647098287 45.877828366067526, -111.86970280925094 45.87609177157699, -111.7689803287998 45.9142968503688, -111.65262849793383 45.919506633840406, -111.58142812382182 45.91777003934987, -111.54322304503002 45.90735047240665, -111.52585710012464 45.89519431097289, -111.44771034805049 45.87956496055806, -111.34177808412774 45.848306259728396, -111.24626538714821 45.810101180936584, -111.19937733590372 45.768422913163704, -111.15943566262138 45.756266751729946, -111.12296717832011 45.74063740131511, -111.06392296564185 45.69895913354223, -111.02398129235951 45.69027616108955, -111.01182513092574 45.67291021618418, -110.95799070171911 45.653807676788276, -110.9336783788516 45.63817832637344, -110.81558995349509 45.66943702720311, -110.78085806368435 45.653807676788276, -110.67839898874269 45.66249064924096, -110.64366709893194 45.66075405475042, -110.58114969727262 45.643388109845056)"
1315,3,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,10,0,ne_1d4_original,,,,,,0,0,0,0,0,,34805,North America,1,Interstate,3.0,6.0,"LINESTRING (-108.47987036372308 45.796208425012296, -108.38956745021517 45.83094031482303)"
1320,5,Road,Major Highway,USA,,New in version 2.0.0,91,,,,0,102,0,ne_1d4_original,,,,,,0,0,0,0,0,,35305,North America,1,Interstate,5.0,8.0,"MULTILINESTRING ((-72.55841332696923 42.72938255472428, -72.55494013798818 42.71722639329056, -72.55841332696923 42.69638725940416, -72.59314521677999 42.62866007427323), (-72.47852998040452 43.13227247652884, -72.46290062998963 43.11316993713285, -72.45942744100864 43.094067397737035, -72.47332019693295 43.031549996077786, -72.47158360244237 43.00376448422912, -72.48721295285719 42.97945216136168, -72.5358375985922 42.95687643298464, -72.53410100410167 42.90304200377807, -72.55494013798818 42.88914924785371, -72.574042677384 42.86657351947673, -72.57751586636516 42.845734385590276, -72.56883289391243 42.82142206272283, -72.56709629942185 42.74501190513922, -72.55841332696923 42.73111914921492), (-72.32397307074672 43.628938500822414, -72.33265604319939 43.60288958346433, -72.34828539361428 43.59247001652102, -72.37259771648172 43.58899682753997, -72.40038322833038 43.56989428814421, -72.41948576772631 43.53168920935241, -72.42816874017899 43.46222542973089, -72.40385641731143 43.427493539920135, -72.40211982282091 43.399708028071416, -72.41774917323568 43.32329787048786, -72.409066200783 43.28682938618664, -72.42990533466951 43.23473155147053, -72.47332019693295 43.184370311245004, -72.48026657489504 43.13574566550989))"
1325,3,Road,Beltway,USA,,New in version 2.0.0,95,,,,0,27,0,ne_1d4_original,,,,,,0,0,0,0,0,,35805,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.26986021499093 42.331702416391366, -71.27680659295306 42.35080495578727, -71.25770405355716 42.406375979484444, -71.25596745906662 42.45847381420055, -71.25075767559503 42.46889338114377, -71.17087432903033 42.494942298501826, -71.11703989982368 42.50188867646397)"
1327,4,Road,Major Highway,USA,,New in version 2.0.0,29,,,,0,70,0,ne_1d4_original,,,,,,0,0,0,0,0,,36605,North America,1,Interstate,4.0,7.0,"LINESTRING (-96.84295068263594 46.84684809178706, -96.8412140881454 46.747862205826465, -96.83253111569272 46.72007669397787, -96.83600430467379 46.6506129143564, -96.82558473773058 46.58114913473493, -96.83426771018325 46.49084622122702, -96.83600430467379 45.98723381897134, -96.84295068263594 45.93687257874578)"
1330,4,Road,Beltway,USA,,New in version 2.0.0,93,,,,0,13,0,ne_1d4_original,,,,,,0,0,0,0,0,,37105,North America,1,Interstate,4.0,7.0,"LINESTRING (-71.13093265574798 42.201457829601104, -71.05973228163597 42.20666761307271, -71.01979060835363 42.22750674695916)"
1331,4,Road,Beltway,USA,,New in version 2.0.0,95,,,,0,20,0,ne_1d4_original,,,,,,0,0,0,0,0,,37205,North America,1,Interstate,4.0,7.0,"LINESTRING (-71.13093265574798 42.201457829601104, -71.19171346291677 42.21708718001594, -71.21081600231267 42.232716530430764, -71.2212355692559 42.281341176165796, -71.26986021499093 42.331702416391366)"
1333,3,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,33,1,ne_1d4_original,,,,,,0,0,0,0,0,,37605,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.272285104618 42.3359645570904, -71.29417253785844 42.32996582190083, -71.3584265340083 42.31086328250492, -71.43483669159193 42.30912668801439, -71.49561749876071 42.27786798718472, -71.5616080894011 42.25876544778882)"
1334,6,Road,Major Highway,USA,,New in version 2.0.0,495,,,,0,27,0,ne_1d4_original,,,,,,0,0,0,0,0,,37705,North America,1,Interstate,6.0,8.5,"LINESTRING (-71.51645663264715 42.51404483789773, -71.57897403430647 42.44979084174787, -71.60328635717399 42.40984916846552, -71.60675954615506 42.37685387314532, -71.57897403430647 42.32649263291975, -71.5616080894011 42.25876544778882)"
1337,3,Road,Major Highway,USA,,New in version 2.0.0,94,,,,0,228,0,ne_1d4_original,,,,,,0,0,0,0,0,,38005,North America,1,Interstate,3.0,6.0,"LINESTRING (-96.75959414709017 46.84511149729652, -96.66929123358226 46.84511149729652, -96.62761296580938 46.84163830831545, -96.61719339886616 46.829482146881695, -96.61372020988509 46.81385279646686, -96.60156404845132 46.79301366258042, -96.57898832007434 46.77564771767505, -96.5060513514718 46.72528647744949, -96.3931727095869 46.65929588680908, -96.32718211894651 46.57941254024439, -96.20909369359 46.41790925262447, -96.13094694151584 46.34323568953139, -96.12400056355371 46.329342933607094, -96.12052737457263 46.2824548823626, -95.96249727593379 46.166103051496634, -95.91387263019875 46.126161378214285, -95.88608711835016 46.08621970493194, -95.8548284175205 46.06017078757389, -95.83398928363405 46.03585846470637, -95.79404761035171 46.01849251980101, -95.73500339767347 46.002863169386174, -95.61691497231696 45.950765334670066, -95.49535335797938 45.881301555048594, -95.44846530673489 45.87435517708645, -95.38073812160395 45.84309647625679, -95.35816239322698 45.83615009829464, -95.30606455851087 45.8344135038041, -95.19665910560705 45.837886692785176, -95.14629786538148 45.83267690931357, -95.05599495187357 45.77189610214478, -95.00389711715746 45.74237399580565, -94.95179928244136 45.72327145640975)"
1338,3,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,112,0,ne_1d4_original,,,,,,0,0,0,0,0,,38105,North America,1,Interstate,3.0,6.0,"LINESTRING (-107.43617707491046 45.57913411369519, -107.46048939777798 45.63991492086398, -107.49174809860764 45.674646810674716, -107.5837876066061 45.74411059029619, -107.6358854413222 45.7493203737678, -107.79044235097997 45.74411059029619, -107.84948656365822 45.7493203737678, -107.91721374878917 45.778842480106924, -108.02835579618352 45.787525452559606, -108.23153735157632 45.79099864154068, -108.28884496976404 45.810101180936584, -108.38956745021517 45.83094031482303)"
1339,3,Road,Major Highway,USA,,New in version 2.0.0,87,,,,0,67,0,ne_1d4_original,,,,,,0,0,0,0,0,,38305,North America,1,Interstate,3.0,6.0,"LINESTRING (-73.84175665547593 42.69638725940409, -73.76708309238285 42.762377850044494, -73.78271244279769 42.88046627540099, -73.8122345491368 42.9186713541928, -73.80528817117467 43.007237673210184, -73.74971714747748 43.069755074869505, -73.75840011993017 43.10101377569917, -73.71151206868568 43.18437031124493, -73.67851677336547 43.29724895312983, -73.7080388797046 43.36323954377023)"
1340,6,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,15,1,ne_1d4_original,,,,,,0,0,0,0,0,,38405,North America,1,Interstate,6.0,8.5,"MULTILINESTRING ((-73.92684978551222 42.75022168861068, -73.99631356513373 42.7780072004594, -74.01541610452955 42.786690172912074, -74.01715269902007 42.7918999563837), (-74.01951392028508 42.793342608862815, -74.01888929351071 42.79363655087417, -74.00673313207687 42.84052460211865))"
1341,3,Road,Major Highway,USA,,New in version 2.0.0,90,,,,0,33,1,ne_1d4_original,,,,,,0,0,0,0,0,,38505,North America,1,Interstate,3.0,6.0,"LINESTRING (-71.5616080894011 42.25876544778882, -71.63107186902258 42.22750674695916, -71.66580375883332 42.222296963487544, -71.7404773219264 42.21708718001594, -71.84814618033968 42.18756507367681)"
