,scalerank,featurecla,type,sov_a3,note,edited,name,namealt,namealtt,routeraw,question,length_km,toll,ne_part,label,label2,local,localtype,localalt,labelrank,ignore,add,rwdb_rd_id,orig_fid,prefix,uident,continent,expressway,level,min_zoom,min_label,geometry
71,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",84,,,,0,166,0,ne_1d4_original,,,,,,0,0,0,0,0,,83505,North America,1,Interstate,3.0,6.0,"LINESTRING (-112.20139235694347 41.71000158877911, -112.2413340302258 41.73431391164678, -112.26390975860272 41.76904580145754, -112.29343186494185 41.80030450228708, -112.3576858610918 41.819407041683064, -112.41152029029837 41.81593385270202, -112.43930580214703 41.83850958107905, -112.45319855807122 41.85761212047487, -112.47230109746721 41.87497806538022, -112.51745255422117 41.89060741579499, -112.57476017240884 41.9010269827383, -112.61470184569117 41.91665633315307, -112.67895584184112 41.95312481745441, -112.71021454267077 41.96180778990714, -112.78488810576374 41.96701757337877, -112.80746383414078 41.97743714032191, -112.83351275149886 42.00001286869889, -113.0019624170809 42.171935723262095, -113.04190409036329 42.203194424091635, -113.04885046832538 42.21535058552553, -113.08879214160777 42.24660928635507, -113.1669388936819 42.29349733759955, -113.26766137413307 42.38032706212647, -113.3909595829611 42.50188867646409, -113.45695017360151 42.53141078280322, -113.50731141382715 42.569615861595025)"
72,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",80,,,,0,243,0,ne_1d4_original,,,,,,0,0,0,0,0,,104205,North America,1,Interstate,3.0,6.0,"LINESTRING (-114.04044592242194 40.74098186305965, -114.01266041057335 40.749664835512334, -113.97966511525316 40.74445505204072, -113.33712515375453 40.728825701625894, -113.12873381489011 40.728825701625894, -113.05579684628758 40.74271845755018, -112.98112328319449 40.780923536341994, -112.90992290908248 40.82260180411488, -112.89776674764872 40.82433839860541, -112.78662470025436 40.76355759143663, -112.74147324350041 40.749664835512334, -112.64075076304927 40.74445505204072, -112.46882790848613 40.676727866909786, -112.33337353822427 40.66457170547603, -112.29864164841352 40.668044894457104, -112.26564635309333 40.68020105589086, -112.1371383607936 40.77397715837985, -112.09198690403964 40.77224056388931, -112.01384015196548 40.77918694185146, -111.92527383294811 40.76529418592716, -111.9061712935522 40.7670307804177)"
81,7,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",72,,,,0,212,0,ne_1d4_original,,,,,,0,0,0,0,0,,118905,North America,1,Interstate,7.0,9.5,"LINESTRING (-91.3066874468046 40.00640239356258, -91.32231679721943 39.91957266903574, -91.31884360823835 39.89178715718715, -91.33620955314373 39.869211428810175, -91.30147766333299 39.82232337756568, -91.29626787986138 39.798011054698165, -91.30842404129514 39.787591487754945, -91.30842404129514 39.76327916488743, -91.25111642310742 39.73202046405776, -91.19380880491971 39.71812770813347, -91.1556037261279 39.726810680586155, -91.11739864733609 39.72507408609562, -90.95068557624455 39.686869007303805, -90.82217758394484 39.67297625137951, -90.56689819383593 39.68339581832274, -90.34114091006614 39.676449440360585, -90.21436951225695 39.686869007303805, -90.16227167754084 39.72854727507669, -90.13448616569225 39.73549365303884, -89.82537234637671 39.74244003100098, -89.7923770510565 39.75285959794421, -89.76632813369845 39.75459619243474, -89.64476651936087 39.73896684201991)"
82,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",57,,,,0,97,0,ne_1d4_original,,,,,,0,0,0,0,0,,134505,North America,1,Interstate,5.0,8.0,"LINESTRING (-88.58023409666181 39.09642688052129, -88.59239025809558 39.00091418354177, -88.60280982503879 38.98875802210801, -88.62364895892523 38.97486526618371, -88.8389866757518 38.79425943916789, -88.8771917545436 38.77342030528145, -88.9240798057881 38.735215226489636, -88.96749466805153 38.705693120150514, -88.96923126254207 38.66054166339655, -88.95360191212723 38.551136210492736, -88.96228488457992 38.33579849366617, -88.95360191212723 38.2993300093649, -88.92755299476917 38.264598119554165)"
83,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",57,,,,0,65,0,ne_1d4_original,,,,,,0,0,0,0,0,,140205,North America,1,Interstate,5.0,8.0,"LINESTRING (-88.9952801799001 37.60469221315017, -88.9761776405042 37.63942410296091, -88.94318234518401 37.77140528424171, -88.94318234518401 37.80092739058083, -88.95533850661776 37.8651813867307, -88.9570751011083 37.89644008756036, -88.95186531763669 37.919015815937335, -88.93276277824079 37.95374770574807, -88.92234321129757 38.04405061925599, -88.90150407741112 38.16561223359356, -88.9049772663922 38.23854920219611, -88.91192364435435 38.25244195812041, -88.92755299476917 38.26980790302577, -88.9240798057881 38.27675428098792, -88.90324067190166 38.278490875478454)"
85,4,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",79,,,,0,189,0,ne_1d4_original,,,,,,0,0,0,0,0,,120405,North America,1,Interstate,4.0,7.0,"LINESTRING (-81.60433402817546 38.377476761439056, -81.58002170530794 38.40526227328764, -81.48103581934735 38.471252863928044, -81.44283074055554 38.492091997814484, -81.36121079950031 38.51814091517254, -81.30390318131259 38.55981918294542, -81.28132745293561 38.571975344379176, -81.24312237414381 38.57718512785079, -81.15455605512643 38.57544853336025, -81.0920386534671 38.59802426173723, -81.03299444078885 38.601497450718306, -81.01910168486455 38.61712680113313, -80.99652595648757 38.61886339562367, -80.97568682260113 38.61018042317099, -80.88017412562161 38.62059999011421, -80.8228665074339 38.611917017661526, -80.76034910577458 38.615390206642594, -80.7377733773976 38.625809773585814, -80.73603678290706 38.63970252951011, -80.74124656637866 38.653595285434406, -80.73603678290706 38.66922463584924, -80.70130489309632 38.686590580754604, -80.67525597573827 38.693536958716756, -80.66483640879505 38.707429714641044, -80.66657300328559 38.7195858760748, -80.67872916471934 38.73000544301803, -80.66136321981398 38.81162538407325, -80.66309981430452 38.84809386837453, -80.6057921961168 38.90192829758117, -80.56585052283445 38.91929424248654, -80.54327479445747 38.938396781882446, -80.5068063101562 38.97312867169318, -80.49465014872244 39.00612396701338, -80.47728420381708 39.013070344975525, -80.45644506993064 39.01480693946606, -80.43734253053472 39.02869969539036, -80.41303020766722 39.0356460733525, -80.40261064072399 39.051275423767336, -80.40608382970507 39.073851152144314, -80.3939276682713 39.08948050255915, -80.38177150683755 39.13115877033203, -80.34182983355521 39.17804682157652, -80.3175175106877 39.19541276648189, -80.30188816027285 39.22146168383994, -80.28625880985803 39.26313995161283, -80.27757583740534 39.268349735084435, -80.26889286495266 39.28224249100873)"
86,4,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",70,,,,0,89,0,ne_1d4_original,,,,,,0,0,0,0,0,,101405,North America,1,Interstate,4.0,7.0,"LINESTRING (-81.54355322100668 39.99598282661936, -81.47582603587574 40.0168219605058, -81.4080988507448 40.046344066844924, -81.37163036644353 40.053290444807075, -81.26569810252079 40.04808066133546, -81.15629264961697 40.05850022827868, -81.02952125180778 40.05850022827868, -80.90622304297966 40.07586617318405, -80.87843753113108 40.074129578693515, -80.80723715701907 40.05502703929761, -80.75340272781243 40.06197341725976)"
87,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",95,,,,0,76,0,ne_1d4_original,,,,,,0,0,0,0,0,,59305,North America,1,Interstate,3.0,6.0,"LINESTRING (-73.70977547419514 41.02925654848876, -73.64725807253582 41.03793952094144, -73.59516023781971 41.057042060337345, -73.48749137940642 41.08482757218594, -73.46665224551998 41.09351054463862, -73.4249739777471 41.124769245468286, -73.37982252099314 41.135188812411506, -73.31904171382436 41.15602794629795, -73.2738902570704 41.16471091875063, -73.23221198929751 41.189023241618145, -73.12975291435585 41.19770621407083, -73.10891378046941 41.20812578101405, -73.07418189065866 41.24112107633425, -73.0568159457533 41.2480674542964)"
89,5,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",99,,,,0,36,0,ne_1d4_original,,,,,,0,0,0,0,0,,92605,North America,1,Interstate,5.0,8.0,"LINESTRING (-78.43157589396472 40.43881442170625, -78.46457118928491 40.23563286631344, -78.48020053969975 40.188744815068944, -78.52361540196317 40.12101762993801, -78.53229837441584 40.09844190156103, -78.53229837441584 40.08628574012727, -78.51319583501994 40.049817255826)"
90,3,Road,Major Highway,USA,,"Version 1.5: Changed alignment, a few adds in N.A.",70,,,,0,32,1,ne_1d4_original,,,,,,0,0,0,0,0,,93305,North America,1,Interstate,3.0,6.0,"LINESTRING (-78.23625759680277 39.98262876721888, -78.2752823898164 39.99424623212882, -78.33085341351358 40.00987558254365, -78.43852227192686 40.00987558254365, -78.47151756724706 40.02203174397741, -78.51319583501994 40.049817255826)"
